ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
2237,0.0,63.0,480.0,0.0,0
4166,0.0,98.0,360.0,0.0,0
3036,2504.0,158.0,360.0,0.0,0
9167,0.0,185.0,360.0,1.0,1
8750,4996.0,130.0,360.0,1.0,1
1759,3541.0,131.0,360.0,1.0,1
4095,3447.0,151.0,360.0,1.0,1
3229,2739.0,110.0,360.0,1.0,1
3987,1411.0,157.0,360.0,1.0,1
2957,0.0,81.0,360.0,1.0,1
2500,1840.0,109.0,360.0,1.0,1
4583,0.0,133.0,360.0,0.0,0
4133,0.0,122.0,360.0,1.0,1
8750,4167.0,308.0,360.0,1.0,0
9323,7873.0,380.0,300.0,1.0,1
3358,0.0,80.0,36.0,1.0,0
2583,2358.0,120.0,360.0,1.0,1
674,5296.0,168.0,360.0,1.0,1
2014,2925.0,113.0,360.0,1.0,0
17263,0.0,225.0,360.0,1.0,1
2894,2792.0,155.0,360.0,1.0,1
2378,0.0,9.0,360.0,1.0,0
10513,3850.0,160.0,180.0,0.0,0
2045,1619.0,101.0,360.0,1.0,1
9504,0.0,275.0,360.0,1.0,1
5703,0.0,128.0,360.0,1.0,1
5703,0.0,130.0,360.0,1.0,1
2071,754.0,94.0,480.0,1.0,1
2491,2054.0,104.0,360.0,1.0,1
4333,1811.0,160.0,360.0,0.0,1
5695,4167.0,175.0,360.0,1.0,1
3200,2254.0,126.0,180.0,0.0,0
4750,0.0,94.0,360.0,1.0,1
6500,0.0,105.0,360.0,0.0,0
3667,1459.0,144.0,360.0,1.0,1
6250,5654.0,188.0,180.0,1.0,1
2138,0.0,99.0,360.0,0.0,0
2366,2531.0,136.0,360.0,1.0,1
3200,700.0,70.0,360.0,1.0,1
3481,0.0,155.0,36.0,1.0,0
3727,1775.0,131.0,360.0,1.0,1
4281,0.0,100.0,360.0,1.0,1
2647,1587.0,173.0,360.0,1.0,0
2965,5701.0,155.0,60.0,1.0,1
1926,1851.0,50.0,360.0,1.0,1
9357,0.0,292.0,360.0,1.0,1
14583,0.0,436.0,360.0,1.0,1
5500,0.0,105.0,360.0,0.0,0
4583,5625.0,255.0,360.0,1.0,1
2484,2302.0,137.0,360.0,1.0,1
2900,0.0,71.0,360.0,1.0,1
11000,0.0,83.0,360.0,1.0,0
3159,461.0,108.0,84.0,1.0,1
3800,3600.0,216.0,360.0,0.0,0
2666,4300.0,121.0,360.0,1.0,1
2507,0.0,56.0,360.0,1.0,1
2192,1742.0,45.0,360.0,1.0,1
5000,0.0,72.0,360.0,0.0,0
5000,0.0,103.0,360.0,0.0,0
2995,0.0,60.0,360.0,1.0,1
6045,0.0,115.0,360.0,0.0,0
9963,0.0,180.0,360.0,1.0,1
7441,0.0,194.0,360.0,1.0,0
2500,4600.0,176.0,360.0,1.0,1
8566,0.0,210.0,360.0,1.0,1
3159,0.0,100.0,360.0,1.0,1
33846,0.0,260.0,360.0,1.0,0
2698,2034.0,122.0,360.0,1.0,1
1378,1881.0,167.0,360.0,1.0,0
2625,6250.0,187.0,360.0,1.0,1
3750,0.0,113.0,480.0,1.0,0
2031,1632.0,113.0,480.0,1.0,1
6608,0.0,137.0,180.0,1.0,1
3273,1820.0,81.0,360.0,1.0,1
3850,983.0,100.0,360.0,1.0,1
3600,0.0,80.0,360.0,1.0,0
3620,0.0,25.0,120.0,1.0,1
4843,3806.0,151.0,360.0,1.0,1
4583,1508.0,128.0,360.0,1.0,0
3073,8106.0,200.0,360.0,1.0,1
3166,0.0,36.0,360.0,1.0,1
2799,2253.0,122.0,360.0,1.0,1
3717,0.0,120.0,360.0,1.0,1
3900,0.0,90.0,360.0,1.0,1
1836,33837.0,90.0,360.0,1.0,0
3333,3250.0,158.0,360.0,1.0,1
3598,1287.0,100.0,360.0,1.0,0
6250,1695.0,210.0,360.0,1.0,1
5955,5625.0,315.0,360.0,1.0,1
2679,1302.0,94.0,360.0,1.0,1
4691,0.0,100.0,360.0,1.0,1
3510,0.0,76.0,360.0,0.0,0
3103,1300.0,80.0,360.0,1.0,1
4000,2275.0,144.0,360.0,1.0,1
8799,0.0,258.0,360.0,0.0,0
2132,1591.0,96.0,360.0,1.0,1
5050,0.0,118.0,360.0,1.0,1
15759,0.0,55.0,360.0,1.0,1
4408,0.0,120.0,360.0,1.0,1
3583,0.0,96.0,360.0,1.0,0
3660,5064.0,187.0,360.0,1.0,1
3902,1666.0,109.0,360.0,1.0,1
18165,0.0,125.0,360.0,1.0,1
2980,2083.0,120.0,360.0,1.0,1
3180,0.0,71.0,360.0,0.0,0
6383,1000.0,187.0,360.0,1.0,0
